TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-11-22 14:01:30.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-C431
2024-11-22 14:01:30.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:30.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:31.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:31.492,0,0,0,-3.47960021741713,0,0,0,-3.355194376888006,0,0,0,-3.309586805288567,0,0,0,-2.888670726485695,0,0,0,-3.348891316013682,1332.893772893773,385.6043956043956,565.7142857142858,1604.468864468864,838.4981684981685,-0.358398,0.060547,0.927429,5.577698,-4.912262,-0.179443,1,4,4,2,4,70.000000
2024-11-22 14:01:31.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:31.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:32.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:32.491,0,0,0,-3.47960021741713,0,0,0,-3.355194376888006,0,0,0,-3.309586805288567,0,0,0,-2.888670726485695,0,0,0,-3.348891316013682,0,434.7619047619048,713.5897435897436,401.3186813186813,725.2747252747253,-0.363770,0.058838,0.933777,5.136566,-5.129089,0.134583,1,4,4,2,4,70.000000
2024-11-22 14:01:33.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:33.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:33.491,0,0,0,-3.47960021741713,0,0,0,-3.355194376888006,0,0,0,-3.309586805288567,0,0,0,-2.888670726485695,0,0,0,-3.348891316013682,1624.615384615385,850.5860805860806,774.0293040293041,548.3882783882784,830.4395604395604,-0.360107,0.061890,0.929565,5.114136,-6.041260,0.231781,1,4,4,2,4,70.000000
2024-11-22 14:01:33.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:34.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:34.491,0,0,0,-3.47960021741713,0,0,0,-3.355194376888006,0,0,0,-3.309586805288567,0,0,0,-2.888670726485695,0,0,0,-3.348891316013682,1494.468864468864,517.7655677655678,641.8681318681319,1245.054945054945,968.2417582417582,-0.363464,0.061707,0.935730,5.158997,-5.368347,0.089722,1,4,4,2,4,75.000000
2024-11-22 14:01:34.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:35.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:35.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:35.492,0,0,0,-3.47960021741713,0,0,0,-3.355194376888006,0,0,0,-3.309586805288567,0,0,0,-2.888670726485695,0,0,0,-3.348891316013682,0,193.003663003663,677.3260073260074,0,788.1318681318681,-0.365295,0.060791,0.927185,5.241241,-5.450592,0.022430,1,4,4,2,4,75.000000
2024-11-22 14:01:35.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:36.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:36.492,0,0,0,-3.47960021741713,0,0,0,-3.355194376888006,0,0,0,-3.309586805288567,0,0,0,-2.888670726485695,0,0,0,-3.348891316013682,1624.615384615385,552.8205128205128,740.1831501831502,1625.018315018315,788.1318681318681,-0.364746,0.063049,0.929871,4.755249,-6.579590,-0.209351,1,4,4,2,4,75.000000
2024-11-22 14:01:36.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:37.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:37.501,0,0,0,-3.47960021741713,0,0,0,-3.355194376888006,0,0,0,-3.309586805288567,0,0,0,-2.888670726485695,0,0,0,-3.348891316013682,0,346.9230769230769,657.985347985348,1259.157509157509,912.6373626373627,-0.370605,0.061768,0.929993,4.830017,-5.615082,0.029907,1,4,4,2,4,75.000000
2024-11-22 14:01:37.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:38.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:38.492,0,0,0,-3.47960021741713,0,0,0,-3.355194376888006,0,0,0,-3.309586805288567,0,0,0,-2.888670726485695,0,0,0,-3.348891316013682,0,512.9304029304029,738.1684981684982,1625.018315018315,875.9706959706959,-0.364807,0.059570,0.928772,4.867401,-6.534729,-0.216827,1,4,4,2,4,75.000000
2024-11-22 14:01:39.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-22 14:01:39.494,0,0,0,-3.47960021741713,0,0,0,-3.355194376888006,0,0,0,-3.309586805288567,0,0,0,-2.888670726485695,0,0,0,-3.348891316013682,12.08791208791209,423.4798534798535,704.3223443223443,1625.018315018315,828.021978021978,-0.372986,0.057922,0.926086,4.852448,-5.069275,0.022430,1,4,4,2,4,75.000000
2024-11-22 14:01:39.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
